homelat,homelon,n
-36.9,-73.1,2
-36.9,-62.7,2
-36.9,174.7,4
-36.9,174.8,9
-36.9,175.8,1
-36.8,-73.1,4
-36.8,-73,21
-36.8,144.3,2
-36.8,149.9,2
-36.8,174.8,516
-36.8,174.8,2
-36.8,175.1,3
-36.7,-73.1,1
-36.7,-56.7,2
-36.7,142.2,1
-36.7,149.7,2
-36.7,150,1
-36.7,174.5,13
-36.6,-72.1,8
-36.6,-64.3,5
-36.6,-56.7,1
-36.5,148.3,1
-36.3,-68,2
-36.1,146.6,1
-35.8,-72.6,2
-35.8,-71.6,1
-35.8,-61.9,2
-35.8,148,2
-35.7,-71.5,326
-35.7,142.4,1
-35.7,174.3,1
-35.6,-58,6
-35.5,138.5,5
-35.5,149,8
-35.4,-71.7,2
-35.4,-71.6,39
-35.4,150,73
-35.3,-72.4,1
-35.3,140.9,1
-35.3,143.6,1
-35.3,149.1,107
-35.2,-56.7,9
-35.2,137,2
-35.2,138.5,30
-35.2,174.2,1
-35.1,-60.5,1
-35.1,-57.5,1
-35.1,147.4,1
-35.1,150.6,1
-35,-71.3,4
-35,-58.8,4
-35,117.4,1
-34.9,-71.2,1
-34.9,-58,113
-34.9,-57.9,6
-34.9,-56.2,163
-34.9,-56.2,21
-34.9,-56.1,2
-34.9,-55,18
-34.9,-54.9,30
-34.9,138.6,54
-34.9,150.6,1
-34.8,-58.8,1
-34.8,-58.5,4
-34.8,-58.4,4
-34.8,-58.2,5
-34.8,-58,1
-34.8,-56,2
-34.8,-55.8,13
-34.8,138.5,1
-34.8,150.8,4
-34.7,-71.1,2
-34.7,-58.7,3
-34.7,-58.6,4
-34.7,-58.5,1
-34.7,-58.4,12
-34.7,-58.3,9
-34.7,-56,2
-34.7,-54.2,135
-34.7,135.9,26
-34.7,138.7,6
-34.7,150.8,13
-34.7,150.9,1
-34.6,-71.4,5
-34.6,-71,8
-34.6,-60.9,3
-34.6,-59.1,1
-34.6,-58.7,1
-34.6,-58.6,46
-34.6,-58.5,34
-34.6,-58.4,1136
-34.6,-54.1,3
-34.6,19.4,1
-34.6,150.9,2
-34.5,-58.9,3
-34.5,-58.7,3
-34.5,-58.6,15
-34.5,-58.5,34
-34.5,-58.4,1
-34.5,-56.3,10
-34.5,-54.3,4
-34.5,19.4,2
-34.5,138.9,1
-34.5,150.8,4
-34.4,-72,94
-34.4,-71.2,1
-34.4,-70.9,2
-34.4,-58.8,1
-34.4,-58.6,9
-34.4,-55.3,3
-34.4,-55.2,1
-34.4,19.3,1
-34.4,21.4,1
-34.4,138.8,1
-34.4,148.6,1
-34.4,150.9,40
-34.3,-56.7,3
-34.3,18.9,2
-34.3,150.9,11
-34.2,-70.7,19
-34.2,18.4,4
-34.2,18.9,3
-34.2,21.6,1
-34.2,22.1,3
-34.2,24.8,2
-34.2,142.1,1
-34.2,150.5,1
-34.2,150.7,38
-34.1,-71.7,1
-34.1,-59,2
-34.1,-56.2,2
-34.1,18.3,1
-34.1,18.3,2
-34.1,18.4,9
-34.1,18.5,20
-34.1,18.6,2
-34.1,18.8,12
-34.1,23.4,7
-34.1,23.4,1
-34.1,24.9,57
-34.1,150.7,2
-34.1,151.2,28
-34,-71.9,3
-34,-58.3,1
-34,-53.5,1
-34,18.3,27
-34,18.4,2
-34,18.5,12
-34,18.6,3
-34,20.4,2
-34,22.5,6
-34,22.6,6
-34,22.8,20
-34,23,6
-34,115.1,9
-34,116.1,2
-34,150.7,94
-34,151.1,5
-33.9,-70.8,1
-33.9,18.4,1208
-33.9,18.6,1
-33.9,18.7,2
-33.9,18.9,157
-33.9,19.2,2
-33.9,25.5,2
-33.9,121.9,3
-33.9,151.1,1
-33.9,151.2,2350
-33.9,151.3,309
-33.8,-70.7,1
-33.8,18.5,26
-33.8,18.7,2
-33.8,19,2
-33.8,25.5,1
-33.8,150.6,1
-33.8,150.7,1
-33.8,150.8,1
-33.8,150.9,3
-33.8,151,4
-33.8,151.1,23
-33.8,151.2,5
-33.8,151.3,66
-33.7,-70.9,2
-33.7,-69.1,1
-33.7,-65.5,4
-33.7,19,6
-33.7,25.5,22
-33.7,115.4,4
-33.7,150.3,1
-33.7,150.7,2
-33.7,151,10
-33.7,151.3,42
-33.7,151.3,5
-33.6,-71.6,4
-33.6,-70.7,3
-33.6,150.8,3
-33.6,151.3,23
-33.5,-70.8,8
-33.5,-70.7,6
-33.5,-70.6,8
-33.5,-70.5,1
-33.5,18.7,1
-33.5,150.2,2
-33.5,151.3,5
-33.5,151.4,2
-33.4,-71.7,18
-33.4,-71.7,1
-33.4,-70.8,4
-33.4,-70.7,292
-33.4,-70.6,69
-33.4,-70.5,18
-33.4,-60.3,1
-33.4,19.8,2
-33.4,149.6,1
-33.4,149.7,1
-33.4,151.3,1
-33.4,151.4,13
-33.4,151.5,6
-33.3,-70.7,1
-33.3,-66.3,34
-33.3,19.1,1
-33.3,151.2,13
-33.3,151.4,2
-33.3,151.5,5
-33.3,151.5,1
-33.2,-70.7,4
-33.2,18.1,1
-33.2,21.9,11
-33.1,-71.6,1
-33.1,-71.4,7
-33.1,-64.3,3
-33.1,18.1,5
-33.1,81.8,18
-33.1,151.7,2
-33,-71.6,79
-33,-71.5,13
-33,-71.4,3
-33,-71.3,6
-33,-68.9,18
-33,-68.8,2
-33,-60.7,1
-33,-58.5,2
-33,27.9,8
-33,151.7,56
-32.9,-71.5,15
-32.9,-71.2,3
-32.9,-68.9,2
-32.9,-68.8,13
-32.9,-68.7,1
-32.9,-62.7,1
-32.9,-60.7,164
-32.9,28,1
-32.9,151.7,4
-32.9,151.8,36
-32.8,-71.5,1
-32.8,-70.7,1
-32.8,-70.6,6
-32.8,151.3,1
-32.8,151.8,3
-32.7,-65.3,3
-32.7,-57.6,1
-32.7,-53.3,1
-32.7,116.6,1
-32.7,151.5,1
-32.7,152.2,3
-32.6,-71.4,3
-32.5,-71.4,3
-32.5,-71,6
-32.5,-58.2,6
-32.5,-55.8,160
-32.4,-71.2,4
-32.4,152.2,2
-32.4,152.5,8
-32.3,-58.1,1
-32.3,-52.4,7
-32.3,26.4,4
-32.3,115.8,1
-32.2,-64.3,1
-32.2,-64.1,2
-32.2,-58.1,1
-32.2,-52.2,1
-32.2,148.6,1
-32.2,152.5,1
-32.1,18.3,4
-32.1,115.7,6
-32.1,115.8,8
-32,115.8,2
-32,115.9,418
-31.9,-71.5,5
-31.9,-54.2,1
-31.9,26.9,1
-31.9,115.8,5
-31.9,115.9,1
-31.9,152.4,2
-31.9,152.5,1
-31.8,-71,1
-31.8,-60.5,2
-31.8,-51.6,120
-31.8,115.8,2
-31.8,147.6,6
-31.7,-65,1
-31.7,-64.4,1
-31.7,-60.8,1
-31.7,-60.5,8
-31.7,115.7,1
-31.6,-68.5,1
-31.6,-60.7,9
-31.5,-68.5,4
-31.5,-64.5,2
-31.5,-64.2,2
-31.5,159.1,2
-31.4,-64.5,3
-31.4,-64.2,26
-31.4,-58,2
-31.4,152.9,20
-31.3,-61.5,2
-31.3,146.9,65
-31.2,152.6,4
-31.1,30.2,1
-31.1,150.9,2
-31.1,152.8,1
-31,-71.3,1
-31,30.2,2
-30.9,-62.7,1
-30.8,-58,2
-30.8,30.4,7
-30.7,30.4,26
-30.6,22.9,298
-30.5,-70.8,1
-30.5,115.1,2
-30.5,151.7,2
-30.4,-66.3,1
-30.4,153.1,1
-30.3,153.1,6
-30.2,-61.9,1
-30.1,-70.5,4
-30.1,-51.3,1
-30.1,-51.2,5
-30.1,-51,3
-30.1,153.2,4
-30,-71.4,2
-30,-71.3,40
-30,-51.2,158
-30,-50.1,2
-30,136.2,23
-29.9,-71.3,24
-29.9,-71.2,1
-29.9,-61.9,1
-29.9,-51.2,17
-29.9,-51.1,3
-29.9,30.9,2
-29.9,31,250
-29.9,31,3
-29.8,-50,9
-29.8,30.8,2
-29.7,-53.8,3
-29.7,-52.4,12
-29.7,-51.1,2
-29.7,30.8,1
-29.7,31.1,4
-29.6,-51.4,1
-29.6,30.4,28
-29.5,-52,3
-29.5,-51.8,1
-29.5,-51.1,1
-29.5,31.2,13
-29.5,31.2,2
-29.5,145.5,4
-29.4,-66.9,1
-29.4,31.2,11
-29.4,153.3,1
-29.3,-49.7,14
-29.2,-51.5,1
-29.2,-51.2,3
-29.2,-49.8,1
-29.1,26.2,3
-29,86.4,2
-29,168,5
-28.9,-49.5,6
-28.9,153.6,2
-28.8,31.9,6
-28.8,32,2
-28.8,114.6,1
-28.8,153.3,10
-28.8,153.6,3
-28.7,-49.4,14
-28.7,153.6,6
-28.6,151.8,1
-28.6,153.2,24
-28.6,153.5,1
-28.6,153.6,301
-28.6,153.6,4
-28.5,-49,3
-28.5,-48.8,1
-28.5,30.9,1
-28.4,-52.8,1
-28.4,-49.5,1
-28.4,153.6,1
-28.3,-49.2,17
-28.3,153.6,6
-28.3,153.6,1
-28.2,-48.7,21
-28.2,28.3,25
-28.2,153.5,2
-28.2,153.5,73
-28.1,-48.7,626
-28.1,-48.6,5
-28.1,153.4,92
-28.1,153.5,21
-28,-48.6,19
-28,153.4,414
-27.9,153.3,1
-27.9,153.4,9
-27.7,-48.5,1
-27.7,30,1
-27.7,121.6,100
-27.7,153.1,2
-27.7,153.2,4
-27.7,153.4,36
-27.6,-48.6,125
-27.6,-48.6,1
-27.6,-48.5,1608
-27.6,-48.4,88
-27.6,152,2
-27.6,153,4
-27.6,153.1,4
-27.6,153.4,1
-27.5,-59,2
-27.5,-58.8,2
-27.5,152.9,1
-27.5,153,605
-27.5,153.1,4
-27.5,153.2,1
-27.5,153.3,2
-27.4,-55.9,3
-27.4,153,2
-27.4,153.1,4
-27.3,-65.6,2
-27.3,-55.9,1
-27.3,-50.6,1
-27.3,153.1,6
-27.2,-51.5,2
-27.2,-50.2,41
-27.2,-49.6,1
-27.2,29.6,15
-27.2,153.1,2
-27.1,-109.3,19
-27.1,-48.5,15
-27.1,153,1
-27,-48.6,14
-27,152.6,3
-26.9,-49.1,12
-26.9,-48.7,8
-26.8,-70.1,2
-26.8,-65.3,1
-26.8,-65.2,5
-26.8,-49.4,1
-26.8,-49.3,1
-26.8,-48.7,2
-26.8,-48.6,1
-26.7,25.3,7
-26.7,27.1,2
-26.7,153.1,12
-26.6,153,1
-26.6,153.1,283
-26.5,-49.1,2
-26.5,-48.6,1
-26.5,27.8,1
-26.5,29.2,2
-26.5,30,2
-26.5,31.5,2
-26.5,151.6,1
-26.5,153.1,6
-26.4,153,40
-26.4,153.1,48
-26.3,-48.9,1
-26.3,-48.8,12
-26.3,28.1,10
-26.3,28.5,1
-26.3,31.1,2
-26.2,-69.6,1
-26.2,27.9,2
-26.2,28,87
-26.2,28.1,4
-26.2,28.2,1
-26.1,-48.7,1
-26.1,27.9,4
-26.1,28,4
-26.1,28.1,3
-26.1,28.2,1
-26,28.1,5
-26,28.2,1
-25.9,-53.5,1
-25.9,-48.6,4
-25.9,28.1,1
-25.9,32.6,2
-25.8,-57.5,1
-25.8,-53.5,2
-25.8,-48.5,4
-25.8,28.2,5
-25.7,-52.7,2
-25.7,-49.3,6
-25.7,-48.5,11
-25.7,28.2,12
-25.6,-57.5,1
-25.6,30.5,13
-25.6,152.6,1
-25.5,-54.6,2
-25.5,-49.2,1
-25.5,-48.5,6
-25.5,31,3
-25.4,-49.3,147
-25.3,-57.6,10
-25.3,-52,29
-25.3,133.8,1943
-25.3,152.8,3
-25.2,152.3,1
-25.1,-50.2,3
-24.9,25.8,4
-24.8,-65.4,2
-24.7,-47.6,1
-24.6,25.9,2
-24.5,-48.8,2
-24.5,-47.8,1
-24.3,-47,17
-24.2,-65.3,10
-24.2,-64.9,1
-24.2,-46.8,1
-24.2,151.9,1
-24.1,-50,2
-24.1,-46.7,35
-24,-46.4,36
-24,-46.4,79
-24,-46.3,71
-24,-46.3,91
-24,28.3,1
-23.9,-46.4,33
-23.8,-64.8,1
-23.8,-46.1,18
-23.8,-45.7,13
-23.8,-45.6,17
-23.8,-45.6,2
-23.8,-45.4,2
-23.8,-45.4,11
-23.7,-70.4,34
-23.7,-47.2,3
-23.7,-46.8,1
-23.7,-46.6,18
-23.7,-46.5,9
-23.7,133.9,7
-23.6,-51.5,90
-23.6,-48.2,1
-23.6,-46.9,5
-23.6,-46.7,20
-23.6,-46.6,1107
-23.6,-46.4,1
-23.6,-45.4,2
-23.5,-49.4,1
-23.5,-47.5,4
-23.5,-47.1,2
-23.5,-46.9,6
-23.5,-46.8,7
-23.5,-46.7,4
-23.5,-46.6,9
-23.5,-46.5,3
-23.5,-46.3,5
-23.5,-46.2,4
-23.4,-58.4,4
-23.4,-51.9,3
-23.4,-46.7,1
-23.4,-46.5,2
-23.4,-45.1,20
-23.4,-45,2
-23.4,29.4,1
-23.4,150.5,2
-23.3,-51.4,1
-23.3,-51.2,4
-23.3,-51,2
-23.3,-46,1
-23.2,-46.9,51
-23.2,-45.9,8
-23.2,-44.7,3
-23.2,150.8,5
-23.1,-47.2,3
-23.1,-45.7,1
-23.1,150.7,2
-23,-47.5,1
-23,-47,3
-23,-45.6,2
-23,-44.5,1
-23,-44.3,31
-23,-43.6,2
-23,-43.5,10
-23,-43.5,2
-23,-43.4,4
-23,-43.4,32
-23,-43.3,12
-23,-43.3,6
-23,-43.2,30
-23,-43,9
-23,-42,23
-23,18.5,6
-23,30.5,3
-22.9,-48.4,1
-22.9,-47.1,23
-22.9,-47,3
-22.9,-43.6,6
-22.9,-43.5,3
-22.9,-43.4,1
-22.9,-43.3,11
-22.9,-43.2,7
-22.9,-43.2,2692
-22.9,-43.1,40
-22.9,-42.8,7
-22.9,-42.5,29
-22.9,-42.3,9
-22.9,-42,84
-22.8,-47.3,1
-22.8,-43.7,2
-22.8,-43.5,7
-22.8,-43.4,3
-22.8,-43.3,4
-22.8,-43.2,1
-22.8,-43.1,7
-22.8,-41.9,8
-22.7,-47.6,4
-22.7,-47.3,3
-22.7,-47,1
-22.7,-45.6,1
-22.7,-42.7,1
-22.7,-42.6,3
-22.7,140,7
-22.6,-47.4,2
-22.6,-46.7,1
-22.6,-46.5,2
-22.6,-43.3,1
-22.6,-43,1
-22.6,-42,3
-22.6,17.1,3
-22.6,167.5,1
-22.5,-68.9,1
-22.5,-63.8,1
-22.5,-55.7,1
-22.5,-43.2,12
-22.5,-41.9,15
-22.4,-66.8,1
-22.4,-60,6
-22.4,-47.6,6
-22.4,-47.4,1
-22.4,-45.5,4
-22.4,-42.7,2
-22.4,-41.8,14
-22.3,-49.1,5
-22.3,-42.5,27
-22.3,24.7,1
-22.3,166.5,2
-22.1,-51.4,1
-22.1,-43.2,2
-22,-47.9,1
-22,-47.4,2
-22,-46.8,2
-22,-46,4
-21.9,-50.6,1
-21.9,-49,2
-21.9,-47.6,1
-21.9,-45.3,1
-21.9,114.1,1
-21.8,-46.6,1
-21.8,-43.3,1
-21.8,-41.3,8
-21.6,-46.9,1
-21.6,-43.3,2
-21.6,-41,1
-21.5,-43,1
-21.3,-49.5,1
-21.3,-47.8,2
-21.3,55.5,1
-21.2,-175.2,1
-21.2,-159.8,2
-21.2,-48.9,1
-21.2,-47.8,6
-21.2,-41.9,1
-21.2,27.5,1
-21.2,55.3,4
-21.2,55.5,1
-21.2,55.6,2
-21.1,-48,6
-21.1,-42.9,2
-21.1,55.2,1
-21.1,55.5,39
-21.1,55.6,2
-21.1,149.2,1
-21,55.2,1
-21,55.3,45
-21,55.7,3
-20.9,55.3,1
-20.9,55.5,30
-20.9,142.7,78
-20.9,165.6,11
-20.8,-51.7,1
-20.8,-49.5,1
-20.8,-49.4,1
-20.8,-41.1,1
-20.8,-40.7,1
-20.7,-48.9,1
-20.7,-47.9,1
-20.7,-42.3,1
-20.7,116.8,2
-20.5,-54.6,4
-20.5,-47.4,1
-20.5,-43.9,1
-20.5,-40.4,6
-20.5,-40.4,1
-20.4,-54.7,3
-20.4,-50,2
-20.4,-40.7,5
-20.4,-40.4,3
-20.4,-40.3,1
-20.4,-40.3,2
-20.4,57.4,1
-20.3,-40.3,3
-20.3,-40.3,78
-20.3,57.4,8
-20.3,57.6,58
-20.3,118.6,1
-20.3,148.7,2
-20.2,-70.2,3
-20.2,-70.1,45
-20.2,-69.3,2
-20.1,-44.9,1
-20.1,-40.3,7
-20.1,-40.2,4
-20,-52.1,1
-19.9,-44,1
-19.9,-43.9,34
-19.7,-47.9,2
-19.7,-45.3,2
-19.6,-43.9,1
-19.6,-43.2,1
-19.5,-44.2,3
-19.5,-44,2
-19.5,-42.5,3
-19.4,-40.1,1
-19.3,-44.4,2
-19.3,146.8,12
-19.2,-40.3,21
-19.2,146.8,1
-19,-65.3,1
-19,-49.5,1
-19,29.2,4
-18.9,-48.3,4
-18.9,-42,1
-18.9,29.8,1
-18.8,-52.6,1
-18.8,46.9,4
-18.7,-39.9,1
-18.7,35.5,2
-18.6,-46.5,14
-18.6,-39.7,1
-18.5,-70.3,34
-18.5,-44.6,11
-18.3,147.7,1
-18.2,31.5,1
-18.1,178.5,4
-17.9,-41.5,1
-17.9,122.2,2
-17.8,31,4
-17.7,-149.4,260
-17.7,177.1,5
-17.7,177.4,1
-17.7,178.1,58
-17.6,-149.6,141
-17.5,-149.8,1
-17.4,-66.2,1
-17.3,0,2
-17,177.4,1
-16.9,145.8,7
-16.8,-151.5,1
-16.7,-49.3,14
-16.7,-49.1,1
-16.5,-151.7,1
-16.5,-68.1,3
-16.5,145.5,1
-16.4,-71.5,8
-16.4,-39.1,1
-16.3,-63.6,2
-16.2,-42.3,1
-16,-5.7,16
-15.8,-49.8,2
-15.8,-48,6
-15.8,-47.9,118
-15.6,-56.1,3
-15.6,28.3,1
-15.4,28.3,2
-14.8,-39,9
-14.6,-28.7,1
-14.3,-178.1,10
-14.3,-171.2,1
-14.3,-170.7,1
-14.2,-51.9,1366
-14.2,-39,2
-14.1,-75.7,1
-13.9,-171.8,1
-13.9,-40.1,2
-13.8,-172.1,2
-13.7,-39.1,4
-13.5,-72,8
-13.4,-39.1,2
-13.3,34.3,1
-13.1,27.8,1
-13,-76.5,2
-13,-38.5,52
-12.9,-39.3,5
-12.9,-38.5,8
-12.9,-38.3,42
-12.8,-38.4,4
-12.8,-38.2,2
-12.8,45.2,3
-12.7,-38.3,2
-12.6,-41.7,21
-12.5,17.6,1
-12.5,130.8,6
-12.4,-76.8,2
-12.3,-76.8,3
-12.3,-76.3,232
-12.3,-39,1
-12.3,49.3,5
-12.2,-76.9,1
-12.1,-77.1,11
-12.1,-77,322
-12.1,-76.9,1
-12.1,-38.4,1
-12,-77.1,7
-12,-77,118
-12,-76.9,5
-11.7,-77.1,1
-11.2,17.9,3
-10.9,-37.1,16
-10.8,-67,1
-10.7,-37.1,1
-10.4,105.7,4
-10.2,-48.3,2
-10,-67.8,3
-9.9,-76.2,1
-9.6,-35.7,26
-9.6,156.5,1
-9.6,160.2,1
-9.5,147.2,15
-9.5,150.7,2
-9.4,147.2,1
-9.2,-75,252
-9.1,-78.6,1
-8.9,-140,5
-8.8,-124.5,18
-8.8,-55.5,31
-8.8,-37,6
-8.8,13.3,3
-8.8,34.5,9
-8.8,115.1,2
-8.8,115.2,4
-8.8,116.8,4
-8.7,115.2,149
-8.7,115.3,2
-8.7,115.4,27
-8.7,116.3,20
-8.7,117.4,1
-8.7,121.1,1
-8.6,115.1,17
-8.6,115.2,4
-8.6,115.3,6
-8.6,116.1,1
-8.5,-35,1
-8.5,115.3,8
-8.5,116.1,1
-8.4,115.1,2
-8.3,-36,2
-8.3,-35,4
-8.3,115.1,1631
-8.3,157.3,31
-8.2,-79,4
-8.2,-34.9,3
-8.2,113.7,2
-8.2,114.4,3
-8.1,-79.1,3
-8.1,-79,29
-8.1,-78.5,7
-8.1,-34.9,2
-8.1,111.1,1
-8.1,112,2
-8.1,112.1,1
-8.1,115.1,5
-8,-50,1
-8,-34.9,203
-8,-34.8,2
-8,110.6,3
-8,112.6,11
-7.9,-14.4,1
-7.8,108.5,1
-7.8,108.5,1
-7.8,110.4,63
-7.7,108.5,4
-7.7,108.7,1
-7.7,109,1
-7.7,110.3,1
-7.7,110.4,1
-7.6,-37.5,1
-7.6,110.8,1
-7.6,112.3,2
-7.6,158.8,14
-7.5,110.8,2
-7.5,112.2,3
-7.5,112.7,3
-7.4,107.2,4
-7.4,109.2,1
-7.4,109.6,1
-7.3,107.8,2
-7.3,112.8,16
-7.2,-78.5,1
-7.2,-39.3,1
-7.2,-39.1,1
-7.2,-35.9,2
-7.2,110.1,1
-7.1,-49.9,3
-7.1,-34.9,1
-7.1,-34.8,14
-7.1,107.6,1
-7.1,107.7,9
-7.1,107.8,2
-7,106.5,6
-7,110.4,4
-7,113.2,1
-6.9,107.6,112
-6.9,109.1,1
-6.9,110.4,1
-6.9,110.7,2
-6.8,-79.8,7
-6.8,-39.3,1
-6.8,39.2,9
-6.8,106,1
-6.7,-38.4,1
-6.7,106.9,1
-6.7,147,1
-6.6,106.6,2
-6.6,106.8,13
-6.6,111.1,2
-6.4,-35.1,1
-6.4,-35,2
-6.4,106.7,1
-6.4,106.8,4
-6.4,106.9,2
-6.4,107,2
-6.3,-36.5,2
-6.3,106.7,4
-6.3,106.8,12
-6.3,107.3,1
-6.3,107.8,1
-6.3,144,19
-6.2,-35,1
-6.2,35.8,1
-6.2,39.3,1
-6.2,106.7,6
-6.2,106.8,50
-6.2,106.9,16
-6.2,107,2
-6.2,155.6,2
-6.1,-77.1,4
-6.1,106.2,1
-6.1,106.8,1
-5.9,-35.3,2
-5.9,-35.2,3
-5.9,39.3,1
-5.8,-35.2,94
-5.5,-39.3,26
-5.4,105.3,1
-5.2,-37.3,1
-5.2,103.9,2
-5.2,119.5,1
-5.1,-42.8,8
-5.1,-35.6,4
-5.1,119.4,3
-5,-47.5,3
-5,-45.3,2
-4.9,-80.7,1
-4.8,119.6,49
-4.7,-37.4,1
-4.7,55.5,9
-4.6,-69.5,1
-4.6,-37.8,2
-4.6,105.4,2
-4.5,-37.8,10
-4.4,-61.3,94
-4.4,55.8,2
-4.4,55.9,7
-4.1,-81,2
-4.1,-79,1
-4,-79.2,1
-3.9,-38.6,1
-3.8,-38.5,6
-3.8,-32.4,1
-3.7,-38.7,3
-3.7,-38.5,193
-3.7,-38.5,4
-3.6,-38.7,1
-3.5,-62.2,3
-3.5,39.9,1
-3.5,116,1
-3.4,-72.5,1
-3.4,29.9,1
-3.4,36.7,1
-3.3,40,1
-3.1,-60,14
-3,104.8,3
-2.9,-79,17
-2.9,-41.8,5
-2.9,-40.8,1
-2.9,-40.5,1
-2.8,-78.8,1
-2.8,-42.8,6
-2.7,-79.6,1
-2.7,-78.8,1
-2.6,-80.4,1
-2.6,29.6,1
-2.5,-44.3,6
-2.5,-43.1,2
-2.3,-78.1,1
-2.3,40.9,1
-2.2,-81,1
-2.2,-80.9,12
-2.2,-79.9,166
-2.2,-79.9,1
-2.2,115.7,11
-2.1,-79.9,2
-2.1,25.9,1
-2,-79.9,19
-2,-79.7,13
-1.8,-80.8,39
-1.8,-79.5,2
-1.8,-78.2,196
-1.8,-53.5,1
-1.7,-80.8,2
-1.7,-78.7,6
-1.5,-48.5,14
-1.5,37.3,1
-1.4,-48.5,2
-1.4,98.9,33
-1.4,121.4,1
-1.3,-46,1
-1.3,36.8,81
-1.3,36.9,1
-1.2,36.7,1
-1.2,36.8,2
-1.2,116.9,1
-1.1,-80.5,72
-1.1,37,1
-1,-91,23
-1,-80.7,22
-1,-79.5,1
-0.9,-89.4,1
-0.9,-78.6,1
-0.9,100.4,4
-0.9,119.9,3
-0.8,113.9,110
-0.6,-90.3,12
-0.6,-80.4,1
-0.6,101.3,87
-0.5,-80.5,2
-0.5,37.3,1
-0.5,117.1,2
-0.4,34.2,1
-0.3,-79.2,1
-0.3,-78.5,2
-0.3,103.2,1
-0.3,111.5,1
-0.2,-79.2,1
-0.2,-78.5,52
-0.1,-78.5,1
-0.1,-78.4,1
0,-78.5,1
0,-51.1,4
0,37.1,1
0,37.9,2
0,109.3,2
0.1,-80.1,3
0.1,-51.1,1
0.2,6.6,2
0.3,-78.1,2
0.3,32.6,6
0.4,9.5,1
0.5,-80,2
0.5,-77.9,1
0.5,102.7,37
